method,exec_time,peak_memory,ARI,AMI,Purity,Homogeneity,Completeness,V-Measure,Silhouette-Spatial,Average-Dispersion,Silhouette,Davies-Bouldin,CHAOS,PAS,ASW
DeepST,752.4923,5379.3748,0.5165,0.6575,0.7175,0.6672,0.6502,0.6586,0.0167,0.1319,0.0838,3.1479,6.0114,0.0363,0.0314
CCST,4866.8093,4349.3907,0.3262,0.4707,0.579,0.4802,0.4647,0.4723,0.0161,0.0136,0.027,5.2332,6.0329,0.0115,0.2415
conST,355.2646,4198.0435,0.4029,0.5965,0.634,0.606,0.5897,0.5977,-0.0193,0.0879,0.0303,3.5112,6.0523,0.0467,0.0086
GIST,2037.9954,5370.8071,0.562,0.697,0.7483,0.6982,0.698,0.6981,0.0541,0.0077,0.0609,2.4081,6.0001,0.0113,-0.0574
GraphST,790.7184,4642.8914,0.6073,0.7195,0.7722,0.7335,0.7077,0.7204,0.0748,0.088,0.122,3.1084,6.0077,0.0157,0.0563
SCAN-IT,1820.8464,2604.6742,0.5706,0.6725,0.7755,0.6745,0.6726,0.6735,0.0867,0.1153,0.1159,2.8236,6.0119,0.0247,0.0548
SEDR,59.8479,6710.3317,0.3345,0.5028,0.6505,0.4846,0.5261,0.5045,0.0589,0.2649,0.1125,3.5565,6.0151,0.0349,0.0004
SpaceFlow,337.9311,2666.8220,0.2888,0.5467,0.3957,0.6834,0.4597,0.5496,-0.1236,0.116,-0.0371,4.0536,6.1151,0.0478,0.0099
SpaGCN,87.9426,5669.2381,0.3564,0.5228,0.5842,0.5333,0.5155,0.5243,0.0759,0.1214,0.136,2.9022,6.063,0.0508,0.0987
STAGATE,479.2095,272.4292,0.3756,0.5312,0.5664,0.5329,0.5325,0.5327,0.1119,0.1079,0.1497,3.2708,6.0289,0.0322,0.1183
